"#"	"Network Object ""FROM"""	"Object Type"	"Network Object ""TO"""	"Object Type"	"Effect"	"Mechanism"	"Homo sapiens"	"Link Info"	"References"
359	"c-Src"	"Protein kinase"	"c-Fos"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"c-Src is capable of phosphorylating tyr residues of c-Fos whereas the phosphatase TC45 T-cell protein-tyr phosphatase (TC-PTP) dephosphorylates them, thus enabling c-Fos/ER association and activation of phospholipid synthesis."	"22105363"
360	"CBM complex"	"Generic binding protein"	"IKK-beta"	"Protein kinase"	"Activation"	"Binding"	"x"	"PKC-theta couples IKK-beta to the CBM complex, resulting in the activation of the IKK complex."	"18227156"
361	"FOXO3A"	"Transcription factor"	"Hamartin"	"Generic binding protein"	"Activation"	"Transcription regulation"	"x"	"FoxO3a binds to and transactivates the TSC1 promoter."	"20371605;21293178"
362	"EGFR"	"Receptor with enzyme activity"	"STAT5A"	"Transcription factor"	"Activation"	"Binding"	"x"	"EGFR physically interacts with STAT5A and increases its activity."	"10358079;16729043;17715395;18586824"
363	"YY1"	"Transcription factor"	"LKB1"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Putative YY1 binding site is found in gene STK11 promoter."	"15774015"
364	"E2F1"	"Transcription factor"	"Hamartin"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"E2F1 probably regulates transcription of Hamartin."	"14597398;18555785;19796622"
365	"HNF4-alpha"	"Transcription factor"	"Hamartin"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"Putative HNF4-alpha binding site is found in gene TSC1 promoter."	"14597398"
366	"TC21"	"RAS - superfamily"	"c-Raf-1"	"Protein kinase"	"Activation"	"Binding"	"x"	"Interaction of TC21 with c-Raf-1 was shown by using yeast two-hybrid system method ."	"10064593;10557073;10783161;11023813;11788587;12620389;15143186;16189514"
367	"EGR1"	"Transcription factor"	"c-Src"	"Protein kinase"	"Activation"	"Transcription regulation"	"x"	"EGR1 binds to gene c-Src promoter and activates c-Src expression."	"17975260"
368	"p300"	"Generic enzyme"	"GSK3 alpha"	"Protein kinase"	"Activation"	"Transcription regulation"	"x"	"p300  interacts with GSK3 alpha promoter and increase its expression."	"20435671"
369	"GSK3 alpha/beta"	"Protein kinase"	"SREBP1 (nuclear)"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 alpha/beta phosphorylates and inhibits SREBP1 (nuclear)"	"16054087;16825193;17303406"
370	"N-Myc"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"N-Myc bound the EGFR promoter .  E-box methylation inhibits Myc-mediated transcription, possibly by  preventing in vivo occupancy of the Myc/Max complex at promoters."	"16093321"
371	"Calpain 2(m)"	"Generic protease"	"GSK3 alpha"	"Protein kinase"	"Unspecified"	"Cleavage"	"x"	"Calpain 2(m) cleaves GSK3 alpha."	"17569662"
372	"STAT5B"	"Transcription factor"	"mTOR"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"It was shown binding of STAT5b to Predicted Sites in Promoter of  mTOR Gene."	"17008382"
373	"HNF4-alpha"	"Transcription factor"	"Leptin receptor"	"Generic receptor"	"Unspecified"	"Transcription regulation"	"x"	"Transcription regulation of Leptin receptor by HNF4-alpha was shown by chromatin immunoprecipitation  and chip-on-chip assay."	"14988562"
374	"PKC-delta"	"Protein kinase"	"ITGB4"	"Generic receptor"	"Inhibition"	"Phosphorylation"	"x"	"PKC-delta phosphorylates ITGB4 and decreases its activity."	"11389095;15121854"
375	"EGFR"	"Receptor with enzyme activity"	"PKC-delta"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"EGFR phosphorylates and activates PKC-delta"	"2984676;2987962;17956904"
376	"p90RSK1"	"Protein kinase"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Inhibition"	"Phosphorylation"	"x"	"Tuberin binds to p90RSK1."	"15342917;15757502;17041622;18094094;21372320"
377	"STAT1"	"Transcription factor"	"c-Raf-1"	"Protein kinase"	"Activation"	"Binding"	"x"	"STAT1 physically interacts with c-Raf-1 and increases its activity."	"9668040"
378	"AMPK alpha 2 subunit"	"Protein kinase"	"SREBP1 (nuclear)"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"AMPKalpha 2subunit interacts with and directly phosphorylates precursor and nuclear fForms of SREBP-1c or SREBP-2."	"21459323"
379	"Aurora-A"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"The recombinant human AURKA protein phosphorylated the GSK-3beta protein at Ser 9 in a concentration-dependent manner, in vitro and the increase in phospho-GSK-3beta level was accompanied by a significant decrease in beta-catenin phosphorylation (Ser33/37/Thr41) and accumulation of beta-catenin protein."	"19060929"
380	"p70 S6 kinase1"	"Protein kinase"	"ITGB4"	"Generic receptor"	"Activation"	"Phosphorylation"	"x"	"The Y1494 mutation construct resulted in a significant decrease in levels of beta4 integrin-tyrosine, Akt and S6 kinase phosphorylation."	"19597468"
381	"ESR1 (nuclear)"	"Transcription factor"	"GSK3 beta"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"17beta-estradiol recruites ESR1 (nuclear) to the GSK3 beta promoter."	"17962382"
382	"Hamartin"	"Generic binding protein"	"mTOR"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"Hamartin physically interacts with  mTOR and decreases its activity."	"12172553;12172555;12271141;16357142;17041621;17046229;17972252;18411301"
383	"EGFR"	"Receptor with enzyme activity"	"p53"	"Transcription factor"	"Activation"	"Binding"	"x"	"Nuclear EGFR was found in complex with TP53, phosphorylated at S15, and with MDC1, following irradiation and BBI treatment."	"18237807"
384	"ETS"	"Transcription factor"	"c-Raf-1"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Putative SRF, HNF1, HNF4, ETS and YY1 binding sites are found in gene Raf1 promoter."	"15699019"
385	"MMP-2"	"Metalloprotease"	"COL1A2"	"Generic binding protein"	"Inhibition"	"Cleavage"	"x"	"MMP-2 cleaves on COL1A2 and inhibits its activity."	"17379243"
386	"G-protein alpha-i family"	"G-alpha"	"Adenylate cyclase"	"Generic enzyme"	"Inhibition"	"Binding"	"x"	"G-protein alpha-i family binds to and inhibits Adenylate cyclases."	"8567630;11779148;12370397;14577329;16789896;17081610;17329241"
387	"REV-ERBalpha"	"Transcription factor"	"AMPK beta1"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"AMPK beta1 is a transcriptional target of REV-ERBalpha."	"22460952"
388	"PKC-alpha"	"Protein kinase"	"ITGB4"	"Generic receptor"	"Unspecified"	"Phosphorylation"	"x"	"PKC-alpha phosphorylates ITGB4."	"10477766;12919677;15121854;16109477"
389	"mTORC1"	"Protein kinase"	"GRB10"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"mTORC1-mediated phosphorylation stabilized Grb10, leading to feedback inhibition of the phosphatidylinositol 3-kinase (PI3K) and extracellular signal-regulated, mitogen-activated protein kinase (ERK-MAPK) pathways."	"21659604;21659605"
390	"p90RSK2(RPS6KA3)"	"Protein kinase"	"YB-1"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"Using an in vitro kinase assay, RSK1 and RSK2 were shown to directly phosphorylate YB-1 at the S102 and RSK1/2 are novel activators of YB-1."	"19036157"
391	"EGFR"	"Receptor with enzyme activity"	"c-Raf-1"	"Protein kinase"	"Activation"	"Binding"	"x"	"EGFR interacts with c-Raf-1 and activates it"	"1990291;11023813"
392	"ETS1"	"Transcription factor"	"ITGB4"	"Generic receptor"	"Unspecified"	"Transcription regulation"	"x"	"Potential binding sites for transcription factors AP-1, ETS, Myod, NF-kB, SP1 and CDX1 are found in the promoter of ITGB4 gene."	"9837976;17194617"
393	"GSK3 beta"	"Protein kinase"	"C/EBPalpha"	"Transcription factor"	"Unspecified"	"Phosphorylation"	"x"	"GSK3 beta phosphorylates C/EBPalpha"	"10567568;16600022"
394	"c-Jun"	"Transcription factor"	"MMP-2"	"Metalloprotease"	"Activation"	"Transcription regulation"	"x"	"c-jun directly regulates MMP-2 gene expression."	"11739475;15777790;16474180;19268464;19940138"
395	"GSK3 alpha/beta"	"Protein kinase"	"Axin"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"Gsk3 binds to and phosphorylates Axin"	"10196136;10428961;10481074;11955436;19884009"
396	"EGR1"	"Transcription factor"	"GSK3 beta"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Putative EGR1 binding sites are found in gene GSK3 beta promoter."	"16248890"
397	"p70 S6 kinase1"	"Protein kinase"	"RACK1"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"RACK1 is putative nuclear S6K1 substrate identified by the phospho-proteomic screen."	"21440620"
398	"Axin1"	"Generic binding protein"	"GSK3 beta"	"Protein kinase"	"Activation"	"Binding"	"x"	"Interaction of Axin1 with GSK3 beta was shown by using tandem-affinity protein purification and mass spectrometry ."	"9482734;9734785;10023673;10228155;10318824;10330181;10330403;10488109;10508699;10581160;12511557;14734535;16890161;17318175;17318191;17510365;18316368;18593713;19202075;19303846;20368287;21383061;21672591"
399	"PKA-cat alpha"	"Protein kinase"	"Wee1B"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"PKA-cat alpha phosphorylates and activates Wee1B"	"16169490;16418576"
400	"Beta-catenin"	"Generic binding protein"	"Oct-3/4"	"Transcription factor"	"Activation"	"Binding"	"x"	"Beta-catenin is involved in the maintenance of ES cells by up-regulating Nanog through binding with Oct-3/4."	"17196549;21685894;22120493"
401	"GSK3 beta"	"Protein kinase"	"ESR1 (nuclear)"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"Purified Erk2 readily phosphorylated GST-ERalpha at S104, S106,  and S118. Cdk2 also phosphorylated S104 and S118, but did not  appear to phosphorylate S106. GSK3 also phosphorylated S104,  with longer exposures showing phosphorylation at S106, but not  S118."	"15033165;16076840;17570479;17609434;18372406"
402	"MEK1(MAP2K1)"	"Protein kinase"	"ERK2 (MAPK1)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"MEK1(MAP2K1) phosphorylates ERK2 (MAPK1) and increases its activity."	"7601337;8157000;8226933;8939914;9447967;10022839;10395297;11134045;11226259;11283259;11352917;11741894;11823456;12401521;12594221;12697810;14616089;15657416;16815847;17255949;17279541;17321481;20007706;20217869;21336309;21871016;22174878"
403	"AMPK alpha 2 subunit"	"Protein kinase"	"Synapsin I"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"AMPK alpha 2 subunit  phosphorylates Synapsin I."	"17608512"
404	"AMPK alpha 2 subunit"	"Protein kinase"	"ATP1A1"	"Generic channel"	"Unspecified"	"Phosphorylation"	"x"	"ATP1A1 is a putative AMPKalpha2 substrate."	"22137581"
405	"PKA-cat (cAMP-dependent)"	"Protein kinase"	"AMPK alpha 1 subunit"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"PKA-cat (cAMP-dependent) phosphorylates AMPK alpha 1 subunit and decreases its activity."	"17023420;19942859"
406	"p300"	"Generic enzyme"	"AMPK alpha 1 subunit"	"Protein kinase"	"Inhibition"	"Acetylation"	"x"	"p300 is the probable major acetyltransferase for PRKAA1."	"22318606"
407	"PI3K cat class IA (p110-alpha)"	"Lipid kinase"	"ATP + PtdIns(4,5)P2 = ADP + PtdIns(3,4,5)P3"	"Reaction"	"Activation"	"Catalysis"	"x"	"PI3K cat class IA (p110-alpha) phosphorylates phosphoinositides at the 3-hydroxyl group of the inositol ring to generate a second messenger phosphatidylinositol 3,4,5-trisphosphate."	"7713498;9043658;9182708;9192891;9514948;9830063;10586892;16724053;17035995"
408	"mTOR"	"Protein kinase"	"AKT1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"mTOR could only phosphorylate the turn motif but not (TM) hydrophobic motif (HM) in Akt."	"10910062;11438723;14970221;15718470;16603397;17376031;17613433;18566586;18566587;19446321;19564927;19875293"
409	"p90RSK1"	"Protein kinase"	"CBP"	"Generic enzyme"	"Activation"	"Binding"	"x"	"RSK1 binds and enhances the function of the transcriptional co-activators CREB-binding protein (CBP) and p300."	"8756728;15929978;18813292"
410	"GSK3 alpha"	"Protein kinase"	"C/EBPalpha"	"Transcription factor"	"Unspecified"	"Phosphorylation"	"x"	"GSK3 alpha phosphorylates C/EBPalpha."	"16600022"
411	"PI-TP"	"Transporter"	"PI3K cat class III (Vps34)"	"Lipid kinase"	"Activation"	"Binding"	"x"	"PI-TP physically interacts with PI3K cat class III (Vps34) and increases its activity."	"8999962"
412	"HNF4-alpha"	"Transcription factor"	"p90RSK1"	"Protein kinase"	"Activation"	"Transcription regulation"	"x"	"p90RSK1 is a putative target of HNF4-alpha."	"22383578"
413	"mTORC1"	"Protein kinase"	"p70 S6 kinase1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"mTORC1 phosphorylates p70 S6 kinase1 and increases its activity"	"11684675;16183647;16288294;18466115;20399660;20965424;21659605;21795849"
414	"mTORC2"	"Protein kinase"	"AKT1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"mTOR2 is responsible for phosphorylation of Akt1"	"17376031;18566587;19439614;19564927;20182617;20531303;21144894;21157483;21321111;21795849;21965657;22084251"
415	"AKT1"	"Protein kinase"	"c-Raf-1"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"Akt interacts with c-Raf1, resulting in inactivation of Raf/MEK/ERKMAPK signaling,and subsequent downregulation of the CDK inhibitors p21Wip1/Cip1 and p27Kip1."	"10576742;16099987;16189514;17570479;18821707;19058874;19197339;20688159"
416	"p90RSK3(RPS6KA2)"	"Protein kinase"	"Rictor"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"RSK can phosphorylate Rictor protein."	"19720745"
417	"ITGB4"	"Generic receptor"	"Shc"	"Generic binding protein"	"Activation"	"Binding"	"x"	"ITGB4 physically interacts with Shc and increases its activity."	"7556090;11044453"
418	"c-Src"	"Protein kinase"	"ERK2 (MAPK1)"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"c-Src phosphorylates ERK2"	"21871016"
419	"HNF4-alpha"	"Transcription factor"	"TRUB2"	"Generic enzyme"	"Unspecified"	"Transcription regulation"	"x"	"Transcription regulation of TRUB2 by HNF4-alpha was shown by chromatin immunoprecipitation  and chip-on-chip assay."	"14988562;19822575;20936779"
420	"AKT1"	"Protein kinase"	"GSK3 alpha/beta"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"Akt phosphorylates Gsk3alpha/beta."	"15539407;19122674;21828040"
421	"c-Src"	"Protein kinase"	"PKC-eta"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"c-Src kinase phosphorylates PKC-eta"	"8621384"
422	"STAT5B"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"Stat5b binds to the EGFR promoter,"	"20639532"
423	"M-Ras"	"RAS - superfamily"	"c-Raf-1"	"Protein kinase"	"Activation"	"Binding"	"x"	"M-Ras physically interacts with c-Raf-1 and increases its activity."	"10498616;15143186;16630891"
424	"p70 S6 kinase2"	"Protein kinase"	"ITGB4"	"Generic receptor"	"Activation"	"Phosphorylation"	"x"	"The Y1494 mutation construct resulted in a significant decrease in levels of beta4 integrin-tyrosine, Akt and S6 kinase phosphorylation."	"19597468"
425	"AMPK beta1"	"Generic binding protein"	"AMPK alpha 1 subunit"	"Protein kinase"	"Activation"	"Binding"	"x"	"AMPK beta1 binds to AMPK alpha 1 subunit."	"8626596;8663446;15695819;16306228;18480843;20368287;20562859;21481774;22318606"
426	"BMAL1"	"Transcription factor"	"LKB1"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Bmal1 is enriched at Stk11 gene."	"21731503"
427	"c-Src"	"Protein kinase"	"PI3K reg class IA (p85-alpha)"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"PI3K reg class IA (p85-alpha) is a candidate Src substrate."	"10487518;12210743;12748652;16530387;18563927"
428	"c-Src"	"Protein kinase"	"PKC-delta"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"c-Src phosphorylates PKC-delta and activates it."	"7516899;8621384;9148947;9582012;11350745;15337529;15380937;15491280;15851033;17658731;19628583;19952103"
429	"AP-1"	"Transcription factor"	"GSK3 alpha"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Putative AP-1 binding sites are found in gene GSK3A promoter."	"11113543"
430	"c-Src"	"Protein kinase"	"c-Raf-1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"c-Src phosphorylates and therefore activates c-Raf-1"	"7517401;8876196;10205168;11023813;15886202;16189514;17097642"
431	"AMPK beta subunit"	"Generic binding protein"	"AMPK alpha 1 subunit"	"Protein kinase"	"Activation"	"Binding"	"x"	"Complex regulatory subunit AMPK beta subunit binds to catalytic subunit AMPK alpha 1 subunit and activates it."	"15695819"
432	"C/EBPbeta"	"Transcription factor"	"c-Src"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Putative SP1 and C/EBPbeta binding sites are found in gene SRC promoter."	"15276210"
433	"SRF"	"Transcription factor"	"Bcl-10"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"BCL10 gene was identified as SRF transcription target by chromatin immunoprecipitation in combination with human promoter microarrays."	"17200232;19687146"
434	"ATP = Cyclic AMP + Pyrophosphate"	"Reaction"	"Cyclic AMP intracellular"	"Compоund"	"Technical"	"Technical"	"x"		
435	"AKT1"	"Protein kinase"	"p70 S6 kinase1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"AKT1 physically interacts with  p70 S6 kinase1."	"11438723;15149849;21097843"
436	"EGR1"	"Transcription factor"	"AMPK alpha 1 subunit"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"PRKAA1 promoter contains putative EGR1 binding site."	"20003277"
437	"E2F1"	"Transcription factor"	"Separase"	"Generic protease"	"Unspecified"	"Transcription regulation"	"x"	"E2F1 probably regulates transcription of Separase in one of the tested cell lines (MCF10A, HeLa, GM06990, MCF7, Ntera2)."	"17053090;17908821;19796622"
438	"NR2B"	"Generic binding protein"	"SynGAP"	"Regulators (GDI, GAP, GEF)"	"Activation"	"Binding"	"x"	"Coimmunoprecipitation data indicate that SynGAP is preferentially associated with NR2B rather than NR2A in adult brain."	"9620694;15924861"
439	"ATP cytoplasm"	"Compоund"	"ATP = Cyclic AMP + Pyrophosphate"	"Reaction"	"Technical"	"Technical"	"x"		
440	"C/EBPalpha"	"Transcription factor"	"GSK3 beta"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"c/ebp alpha binds to gsk3beta promoter."	"19398579"
441	"C/EBPalpha"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Unspecified"	"Transcription regulation"	"x"	"EGFR was detected as validated C/EBP alpha  target gene."	"19103292"
442	"Plectin 1"	"Generic binding protein"	"ITGB4"	"Generic receptor"	"Activation"	"Binding"	"x"	"Plectin 1, a major component of the cytoskeleton bind to both F-actin and beta-4 subunit of alpha-6/beta-4 integrin."	"9531560;11328943;14517317;14559777;14668477;19118211;19242489;20936779"
443	"AMPK alpha 2 subunit"	"Protein kinase"	"Laforin"	"Protein phosphatase"	"Unspecified"	"Phosphorylation"	"x"	"AMPK interacts and phosphorylates laforin in vitro."	"18029386"
444	"mTOR"	"Protein kinase"	"c-Myc"	"Transcription factor"	"Unspecified"	"Phosphorylation"	"x"	"c-Myc is a putative mTOR target."	"21659604"
445	"c-Raf-1"	"Protein kinase"	"RelA (p65 NF-kB subunit)"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"C-Raf-1 phosphorylates RelA (p65 NF-kB subunit) and increases its activity."	"17462920"
446	"AMPK alpha 2 subunit"	"Protein kinase"	"p53"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"AMPK can induce p53 by promoting phosphorylation on serine-15, a site known to be important for the activation of p53."	"15866171;17339337;21340684"
447	"GSK3 beta"	"Protein kinase"	"p53"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"Interaction of GSK3 beta with p53 was shown by using yeast two-hybrid system method ."	"11483158;12048243;12064478;14523002;14744935;15379854;16189514;16288459;17128209;17570479;17785458"
448	"FOXO3A"	"Transcription factor"	"LKB1"	"Protein kinase"	"Activation"	"Transcription regulation"	"x"	"FOXO3A can bind to gene LKB1 promoter."	"16690749;21293178;22412893"
449	"LKB1"	"Protein kinase"	"STAT3"	"Transcription factor"	"Inhibition"	"Binding"	"x"	"LKB1 physically interacts with  STAT3 and decreases its activity."	"17761947"
450	"c-Src"	"Protein kinase"	"ERK1/2"	"Protein kinase"	"Activation"	"Binding"	"x"	"Total ERK1/2 (ERK), like MEK1/2, is present in the c-Src immune complex."	"19628583"
451	"Leptin receptor"	"Generic receptor"	"STAT5A"	"Transcription factor"	"Activation"	"Binding"	"x"	"Studies have also demonstrated that leptin stimulates the phosphorylation of Tyr1077 on Leptin Receptor B and activates STAT5."	"9748302;11089524;15634336;16336196;16698021;17726024;18202144"
452	"EGR1"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"EGR1 binds to gene EGFR promoter and activates EGFR expression."	"1417865;11830539;17230532;19032775;20190820"
453	"c-Jun"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"Increased AP-1 (Fos/Jun) transcriptional activity mediates the increased EGFR expression."	"10803405;12791271;12791272;14668816;14704150;18226189;20124286;20460455"
454	"EGFR"	"Receptor with enzyme activity"	"GRB2"	"Generic binding protein"	"Activation"	"Binding"	"x"	"Autophosphorylation of tyrosine residues on the cytoplasmic tail of EGFR upon ligand binding leads to recruitment of the Grb2/Sos complex to the activated receptor and to activation of the Ras pathway."	"1322798;7506413;7510700;7518560;7527043;7798267;7925272;7929151;8305738;8316835;8386805;8479540;8479541;8524223;8577724;8626525;8626530;8647858;8662998;8810325;8887653;8940013;9050991;9363897;9685397;9715408;9765228;9886492;10026169;10085134;10090597;10490623;10635327;11208164;11287756;11297548;11412040;11726515;11823423;11960376;12577067;14498832;14679214;14743216;15194809;15352158;15635092;15657067;15782189;15784896;15982853;16055672;16099987;16273093;16477079;16729043;16799092;16889899;17242169;17372273;17548515;17671194;17715395;17971399;18174162;18358509;18562239;18721752;18793634;19278030;19289468;19531065;19836242;20067773;20124286;20462955;20473329;20945942;21185312;21258366;21278786;21278788;21356361;21596750;21706016"
455	"GSK3 alpha/beta"	"Protein kinase"	"Beta-catenin"	"Generic binding protein"	"Inhibition"	"Phosphorylation"	"x"	"In the absence of a WNT signal, GSK3 is active and phosphorylates axin, b-catenin and APC. This stabilizes axin and facilitates the interaction of APC with b-catenin, but targets b- catenin for ubiquitin-mediated proteolytic destruction."	"9425102;10728985;11171368;11584304;11955436;15327768;15695395;15699046;16959574;20363320"
456	"Collagen I"	"Generic binding protein"	"alpha-11/beta-1 integrin"	"Generic receptor"	"Activation"	"Binding"	"x"	"Collagen I  is an agonist of alpha-11/beta-1 integrin"	"10464311;11876085;12297042;15761669"
457	"AKT(PKB)"	"Protein kinase"	"GSK3 alpha/beta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"PKB/AKT phosphorylates and inhibits GSK3, resulting in the dephosphorylation of substrates of GSK3, including glycogen synthase and eIF2B."	"8524413;11278638;11357143;11583116;11584304;12682058;14597233;15993040;16619268;16724053;17131382;17574025;18443201;18555664;19407222;20363322;20399660;21779512"
458	"PtdIns(3,4,5)P3 intracellular"	"Compоund"	"AKT(PKB)"	"Protein kinase"	"Activation"	"Binding"	"x"	"PtdIns(3,4,5)P3 physically interacts with AKT(PKB) and increases its activity"	"9395488;9838078;10200246;11048728;12407113;12478302;12545728;12694559;12897244;16088939;16724053;16919913;17035995;17823121"
459	"Rac1"	"RAS - superfamily"	"PAK1"	"Protein kinase"	"Activation"	"Binding"	"x"	"The activity of Rac1 (A) and Cdc42 (B) was determined by measuring the amount of GTP-loaded protein bound to GST-Pak."	"7493923;7493928;7559638;7744004;8107774;8805275;8824197;9535855;9705280;9755165;10574699;10706722;10802735;11030651;11134022;11804587;11950930;12123608;12176333;12213441;12556491;12650940;12879077;12885773;14749719;15308572;15673687;15688026;15788770;15864311;16042564;16099987;16267012;16368433;16492808;16630611;16814769;16949823;17245428;17254961;17254971;17553668;18218625;18325335;18508927;18621126;18854161;18948007;19010820;19036346;19351515;19494130;19596003;19693014;19732720;20457815;20810653;20936779;21029865;22042618"
460	"H-Ras"	"RAS - superfamily"	"c-Raf-1"	"Protein kinase"	"Activation"	"Binding"	"x"	"H-Ras physically interacts with c-Raf-1and increases its activity."	"4885425;7523381;7557021;7730301;7730360;7862125;7935463;7969158;8035810;8048167;8120027;8307946;8327501;8332187;8332195;8334704;8530446;8537333;8626511;8628317;8636102;8670882;8853442;8911690;9045626;9099670;9122217;9144171;9150145;9154803;9261098;9297626;9488663;9516482;9523700;9632667;9727023;10369681;10508586;10545207;10783161;10882715;10922060;10933809;11023813;11248252;11287677;11325826;11340161;11429608;11585923;11784015;12379659;12620389;12876556;14654780;14724584;15031288;15143186;15352164;15664191;15688026;15705808;16079829;16301319;16724053;16803888;17064357;17314971;17389601;17555829;18073111;18273062;18458061;19063885;19222999;19416908;19995790;20139360;20178605;20679480;20936779;22042618;22605333"
461	"p90Rsk"	"Protein kinase"	"CBP"	"Generic enzyme"	"Inhibition"	"Binding"	"x"	"p90Rsk interacts with CBP and inhibits it"	"8756728;8779707;11564891;11969286;12540838"
462	"TGF-alpha"	"Receptor ligand"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Binding"	"x"	"Transforming growth factor A is a cytokine that shares about 40% homology with epidermal growth factor (EGF) and also binds to the EGF-receptor (EGFR) to produce its biologic effects."	"2168868;8663070;9716460;10214951;10775655;11208164;11940508;12297049;12648462;12790326;12885624;12897707;14967450;15578920;15831232;15982853;16460914;16889899;17085050;18470483;19048033;19237431;19531065;21512244;21868713;21925169"
463	"MEK1(MAP2K1)"	"Protein kinase"	"ERK1/2"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"MEK1(MAP2K1) phosphorylates ERK1/2 and increases its activity."	"1321146;1411546;7557021;7601337;8909797;9552001;10330152;10358048;11784015;11972630;12039794;12060661;12788955;12876556;15020233;15047712;15352164;15565643;15831232;16456537;16724058;16858395;17110930;17553668;17972914;21131601;21217783"
464	"MEK2(MAP2K2)"	"Protein kinase"	"ERK1/2"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"MEK2(MAP2K2) phosphorylates ERK1/2 and increases its activity."	"1321146;7601337;8702863;8909797;9552001;10358048;12876556;15352164;15723344;15831232;16858395"
465	"IGF-1 receptor"	"Receptor with enzyme activity"	"Shc"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"IGF-1 receptor phosphorylates Shc and increases its activity."	"7541045;7559507;8776723;9003010;9202243;10477272;10490655;12960075;15629149;16099987;16113100;16931767;19330796"
466	"IGF-1 receptor"	"Receptor with enzyme activity"	"IRS-1"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"IGF-I receptor mediates its effects via interaction with the insulin receptor substrate 1 (IRS-1)."	"1340212;5031805;7541045;7559507;8530377;8662806;8776723;9003010;9202243;9205064;10026153;10082579;10490655;10543935;11557037;11940579;12023872;12220227;15068962;15567406;15629149;16099987;16187290;16724056;16894293;16931767;17570479;17955485;17988211;19330796;21939528;22182837"
